DATE,OceanTemp,Salinity,SeaPressure,BlueCrabCatch,WaveDirection,AverageWavePeriod,DominantWavePeriod,WaveHeight,Gust,WindSpeed,WindDirection,Illum,PRCP,AvgDailyWind,Weekend,Attack
20100129,15.5,,1025.6,588,123.1,4.79,7.69,1.92,14.4,11.4,23,NM,0,60,Yes,N
20100130,15.5,,1009.4,732,123.1,5.43,6.67,2.52,17.8,14.2,110,FM,333,60,Yes,N
20100131,15.5,,1020.9,617,123.1,5.64,10,2.81,15.5,12,348,FM,0,38,Yes,N
20100201,14.5,,1028.7,1234,98,7.37,10,1.74,5.8,4.9,353,FM,0,21,No,N
20100202,14.5,,1018.9,1234,98,4.53,12.9,0.93,10.7,8.6,117,FM,165,33,No,N
20100203,14.5,,1018.2,3519,98,4.58,9.09,1.84,13.4,11.3,350,FQ,0,32,No,N
20100204,14.5,,1028.3,2957,98,5.81,10.81,2.16,11.1,9.6,6,FQ,0,36,No,N
20100205,14.5,,1020.2,1234,98,5.3,10.81,1.69,10.9,8.9,117,FQ,239,63,Yes,N
20100206,14.5,,996.4,1234,98,6.26,10.81,3.45,17.9,14.9,273,LQ,185,72,Yes,N
20100207,14.5,,1015.3,2209,98,6.92,13.79,2.78,11.1,9.2,354,LQ,0,34,Yes,N
20100208,14.5,,1022.2,1234,98,6.46,12.12,1.68,6.3,5.5,346,LQ,0,17,No,N
20100209,14.5,,1019.8,2466,98,5.47,7.69,0.83,6.8,5.8,26,LQ,315,30,No,N
20100210,14.5,,998.2,851,98,5.53,7.14,3.28,21.4,18.1,281,NM,3,87,No,N
20100211,14.5,,1009.8,1636,98,5.49,5.88,2.48,12.9,10.9,316,NM,0,56,No,N
20100212,14.5,,1014.2,1336,98,7.15,12.9,2.29,8.2,7.1,7,NM,5,34,Yes,N
20100213,14.5,,1004.1,1538,98,5.4,6.25,2.57,14.3,12.3,322,NM,94,58,Yes,N
20100214,14.5,,1013.4,3791,98,4.89,6.67,1.66,9.9,7.7,300,NM,0,46,Yes,N
20100215,14.5,,1012.9,1234,98,4.52,6.67,1.01,4.6,4.3,250,NM,5,40,No,N
20100216,14.5,,1009,4323,98,5.23,8.33,2.28,13.6,11,282,NM,0,56,No,N
20100217,14.5,,1009.8,3004,98,4.2,6.25,1.15,8.9,7,283,NM,0,46,No,N
20100218,14.5,,1012,4317,98,4.47,5.88,1.64,11.3,9.5,301,LQ,0,49,No,N
20100219,14.5,,1017.6,702,98,4.18,5.56,1.39,9.1,7.7,319,LQ,0,37,Yes,N
20100220,14.5,,1021.6,1843,98,4.82,5.26,1.04,5.2,3.7,313,LQ,0,26,Yes,N
20100221,14.5,,1021.4,2359,98,3.58,3.23,0.71,4,3.4,358,FQ,0,23,Yes,N
20100222,14.5,,1011.5,180,98,3.83,7.69,0.68,10.4,8.7,181,FQ,254,26,No,N
20100223,14.5,,1005.2,1796,98,4.89,10,1.49,10.5,8.7,304,FQ,0,32,No,N
20100224,14.5,,1011,2790,98,5.65,9.09,1.33,8,6.6,50,FQ,36,35,No,N
20100225,14.5,,1003.4,552,98,4.61,4.76,1.6,13.3,10.8,298,FM,25,58,No,N
20100226,14.5,,1004.8,753,98,6.21,9.09,3.62,17.8,13.3,271,FM,0,80,Yes,N
20100227,14.5,,1006.9,735,98,6.27,8.33,2.25,7.9,5.3,284,NM,0,31,Yes,N
20100228,14.5,,1006.7,838,98,5.1,7.69,1.64,10.7,9,312,FM,0,38,Yes,N
20100301,15.6,,1015.8,948,147.8,4.29,5.26,1.23,6.6,5.2,310,FM,0,39,No,N
20100302,15.6,,1009.5,2553,147.8,4.18,10.81,1.09,11.2,9,72,FM,315,50,No,N
20100303,15.6,,998,7392,147.8,5.85,9.09,3.2,16,13,320,FM,13,64,No,N
20100304,15.6,,1010,10201,147.8,5.83,11.43,1.99,8.8,6.9,308,FQ,0,34,No,N
20100305,15.6,,1016.4,18706,147.8,5.97,12.12,1.74,8.7,7.1,347,FQ,0,36,Yes,N
20100306,15.6,,1021.4,18737,147.8,5.94,12.12,2.33,12,10,354,FQ,0,37,Yes,N
20100307,15.6,,1023,7908,147.8,7.79,12.12,1.8,4.9,3.8,301,FQ,0,25,Yes,N
20100308,15.6,,1017,7020,147.8,7.38,12.12,1.24,3.2,2.6,296,LQ,0,21,No,N
20100309,15.6,,1018.6,20606,147.8,6.54,10.81,0.63,3.8,2.5,353,LQ,0,18,No,N
20100310,15.6,,1017.4,16601,147.8,3.86,5.88,0.85,8.9,7.8,246,LQ,0,26,No,N
20100311,15.6,,1016.7,15742,147.8,4.54,5,0.84,6.5,5.3,139,LQ,104,27,No,N
20100312,15.6,,1007.3,12698,147.8,6.16,7.69,3.61,15.1,12.4,123,NM,467,60,Yes,N
20100313,15.6,,997.2,18581,147.8,8.21,9.09,2.87,10.8,8.9,237,NM,58,46,Yes,N
20100314,15.6,,999.9,13134,147.8,6.63,10.81,2.52,9.5,8.1,249,NM,0,46,Yes,N
20100315,15.6,,1003.4,9065,147.8,6.93,10,1.72,4.3,3.5,273,NM,3,36,No,N
20100316,15.6,,1013.4,26946,147.8,5.5,12.12,2,13.6,11,352,NM,0,49,No,N
20100317,15.6,,1017.4,28551,147.8,8.52,13.79,2.27,7.6,6.7,10,NM,0,32,No,N
20100318,15.6,,1008.5,37889,147.8,6.36,10.81,1.95,9.8,8.2,12,NM,3,37,No,N
20100319,15.6,,1013.2,27787,147.8,6.95,10.81,1.96,4.7,4.2,345,LQ,0,22,Yes,N
20100320,15.6,,1020.5,42445,147.8,6.94,8.33,1.13,3,2.4,249,LQ,0,17,Yes,N
20100321,15.6,,1021.3,11714,147.8,4.65,10.81,0.65,4,2.8,178,LQ,10,26,Yes,N
20100322,15.6,,1009.9,19917,147.8,6.14,8.33,3.31,21.4,16.8,183,LQ,18,64,No,N
20100323,15.6,,1007.5,16454,147.8,5.52,9.09,2.7,15.5,12.5,249,FQ,0,68,No,N
20100324,15.6,,1017.8,39650,147.8,4.91,8.33,1.26,6.4,4.9,288,FQ,0,36,No,N
20100325,15.6,,1018.4,28309,147.8,3.54,3.85,0.99,12.5,10.4,197,FQ,0,49,No,N
20100326,15.6,,1003.3,36791,147.8,6.23,8.33,2.6,10.3,8.2,250,FM,150,67,Yes,N
20100327,15.6,,1024.5,35232,147.8,6.34,12.12,2.83,15.3,12.4,11,FM,0,59,Yes,N
20100328,15.6,,1021.4,23682,147.8,5.83,12.12,1.91,11.7,9.4,148,NM,0,50,Yes,N
20100329,15.6,,1004.2,8363,147.8,6.81,8.33,4.31,16.9,14.2,169,FM,663,60,No,N
20100330,15.6,,1007,57308,147.8,7.66,10,2.75,5.4,3.8,309,FM,3,45,No,N
20100331,15.6,,1014,41604,147.8,5.81,10,1.67,3.8,3,259,FM,0,37,No,N
20100401,18.8,,1020.3,54114,104.2,6.89,11.43,1.04,2,1.7,19,FM,0,20,No,N
20100402,18.8,,1021.8,39771,104.2,6.91,10.81,1.27,6,5.1,26,FM,0,25,Yes,N
20100403,18.8,,1021.2,37034,104.2,7.06,9.09,1.44,4.4,3.3,176,FQ,0,21,Yes,N
20100404,18.8,,1022,80830,104.2,6.34,8.33,0.87,8.2,7.3,233,FQ,0,24,Yes,N
20100405,18.8,,1022.2,27711,104.2,3.65,7.69,0.74,10.9,9,226,FQ,0,42,No,N
20100406,18.8,,1018.7,87553,104.2,4.4,6.25,1.02,9.9,8.5,225,LQ,0,59,No,N
20100407,18.8,,1016.9,42006,104.2,4.57,6.25,1.62,12.3,10.5,227,LQ,0,74,No,N
20100408,18.8,,1014.7,24050,104.2,4.87,7.14,1.51,11,9.1,215,LQ,0,62,No,N
20100409,18.8,,1007.7,70430,104.2,6.33,9.09,2.97,13.3,10.2,271,LQ,391,44,Yes,N
20100410,18.8,,1028.2,44226,104.2,5.01,7.69,1.01,6.1,4.8,19,NM,0,30,Yes,N
20100411,18.8,,1028.5,23849,104.2,5.3,6.67,0.66,2.6,1.7,139,NM,0,19,Yes,N
20100412,18.8,,1026.6,22524,104.2,5.54,6.25,0.54,1.7,1.1,350,NM,0,20,No,N
20100413,18.8,,1027.7,67141,104.2,5.16,7.14,0.76,1.4,0.8,352,NM,0,20,No,N
20100414,18.8,,1031,57808,104.2,5.46,8.33,2.18,12.9,10.5,15,NM,5,54,No,N
20100415,18.8,,1029.3,35856,104.2,5.11,8.33,1.17,5.3,3.8,354,NM,0,27,No,N
20100416,18.8,,1018.4,30017,104.2,4.21,4.55,1.17,10.8,8.7,234,NM,0,59,Yes,N
20100417,18.8,,1010.3,44522,104.2,5.52,7.69,2.4,12,10,247,NM,0,57,Yes,N
20100418,18.8,,1015.4,18208,104.2,4.83,6.25,1.36,9.3,7.6,17,LQ,0,40,Yes,N
20100419,18.8,,1017.5,10855,104.2,4.44,11.43,0.85,4.3,3.6,33,LQ,0,26,No,N
20100420,18.8,,1017.2,44103,104.2,6.59,11.43,0.54,3.6,3.1,282,LQ,0,21,No,N
20100421,18.8,,1011,26807,104.2,6.92,12.9,0.66,2.3,1.4,105,FQ,61,17,No,N
20100422,18.8,,1010.3,64639,104.2,5.19,6.67,0.98,3.8,3.2,273,FQ,0,31,No,N
20100423,18.8,,1014,63395,104.2,4.58,10.81,0.57,4.3,3.3,249,FQ,0,29,Yes,N
20100424,18.8,,1017.2,57811,104.2,4.13,5.26,1,7.8,7,112,FM,3,47,Yes,N
20100425,18.8,,1006.1,38354,104.2,5.33,5.88,2.05,7.4,6.5,216,FM,30,54,Yes,N
20100426,18.8,,994,32908,104.2,5.94,8.33,2.47,9.6,8.5,218,NM,0,60,No,N
20100427,18.8,,998.6,75503,104.2,6.15,7.69,2.23,5.1,4.4,236,FM,0,52,No,N
20100428,18.8,,1010.4,106643,104.2,5.6,7.69,1.7,9.1,6.5,302,FM,23,39,No,N
20100429,18.8,,1018.2,107466,104.2,5.04,5.56,0.94,4.4,3.8,234,FM,0,33,No,N
20100430,18.8,,1017.6,110720,104.2,4.34,5,0.88,6.3,5.4,222,FM,0,51,Yes,N
20100501,22.5,,1017.3,133481,113,4.2,5,0.84,5.9,5.4,207,FM,0,54,Yes,N
20100502,22.5,,1018.5,92669,113,4.19,6.25,0.99,8.1,7.2,198,FQ,0,60,Yes,N
20100503,22.5,,1017,64238,113,4.62,6.25,1.35,7.8,7.1,218,FQ,0,68,No,N
20100504,22.5,,1013.4,166762,113,4.74,5.88,1.33,5.6,4.9,226,FQ,71,38,No,N
20100505,22.5,,1016.5,162557,113,4.66,6.67,0.99,3.9,3.1,182,FQ,0,24,No,N
20100506,22.5,,1013.7,137817,113,4.68,5.88,0.79,2.7,2.3,226,LQ,0,36,No,N
20100507,22.5,,1016.3,142788,113,4.2,3.85,0.77,8,7.1,23,LQ,0,41,Yes,N
20100508,22.5,,1008.3,178191,113,4.44,5.26,1.66,12.8,10.9,220,LQ,0,65,Yes,N
20100509,22.5,,1020,132671,113,4.75,7.14,0.97,5.3,4,14,LQ,0,30,Yes,N
20100510,22.5,,1027.3,28525,113,4.41,5.26,1.25,8.2,6.7,9,NM,0,36,No,N
20100511,22.5,,1029.8,185102,113,4.07,6.25,0.75,5.5,4.5,93,NM,0,36,No,N
20100512,22.5,,1022.7,136718,113,4.41,5.56,1.04,8.6,7.5,237,NM,0,55,No,N
20100513,22.5,,1025.5,182286,113,4.73,6.25,0.93,5.1,4.5,46,NM,272,34,No,N
20100514,22.5,,1025.5,159587,113,5.17,6.67,0.62,6.4,5.6,235,NM,0,38,Yes,N
20100515,22.5,,1021.4,159243,113,4.34,5,1.08,6.7,6,238,NM,0,43,Yes,N
20100516,22.5,,1019.4,116586,113,4.78,5.56,1.02,4.3,3.8,260,NM,0,30,Yes,N
20100517,22.5,,1018,17896,113,4.63,5.26,1,4,3.4,100,LQ,0,34,No,N
20100518,22.5,,1009.8,164488,113,5.88,7.69,2.94,5.1,4,208,LQ,152,42,No,N
20100519,22.5,,1012.5,95903,113,5.49,6.67,0.88,9.5,8.2,106,LQ,41,24,No,N
20100520,22.5,,1017.4,114613,113,4.66,8.33,0.83,6,5.5,25,FQ,0,21,No,N
20100521,22.5,,1021.3,182049,113,7.41,9.09,0.87,3,2.6,28,FQ,0,27,Yes,N
20100522,22.5,,1020.4,137437,113,5.56,6.25,0.93,2,1.7,25,FQ,0,26,Yes,N
20100523,22.5,,1019.2,140534,113,6.07,6.67,1.12,2.5,1.9,19,FQ,0,21,Yes,N
20100524,22.5,,1019.8,82789,113,7.22,9.09,1.83,5.5,5,49,FM,229,41,No,N
20100525,22.5,,1017,114389,113,7.66,10.81,3.12,10.2,8.9,16,FM,8,49,No,N
20100526,22.5,,1011,140613,113,6.48,10,2.47,7.7,6.7,34,NM,15,43,No,N
20100527,22.5,,1008.1,157793,113,7.4,10,1.42,1.3,0.4,98,FM,0,21,No,N
20100528,22.5,,1012.4,144009,113,5.39,9.09,1.22,4.9,4.7,46,FM,0,51,Yes,N
20100529,22.5,,1016.7,144692,113,5.13,9.09,1.29,6.4,5.6,164,FM,0,35,Yes,N
20100530,22.5,,1017.7,132597,113,5.01,7.69,0.84,5.9,5.3,238,FM,0,45,Yes,N
20100531,22.5,,1020,38619,113,3.91,9.09,0.56,4,3.3,233,FM,0,38,No,N
20100601,25.8,,1017.3,180804,138.3,4.06,4.17,0.94,6.2,5.4,208,FQ,0,30,No,N
20100602,25.8,,1013.9,185786,138.3,5.03,5.26,1.35,5.5,4.5,189,FQ,0,32,No,N
20100603,25.8,,1011.6,165388,138.3,4.44,5.26,1.19,8.6,7.4,209,FQ,0,41,No,N
20100604,25.8,,1013.5,97760,138.3,4.42,5.26,0.95,5.4,4.7,230,FQ,0,36,Yes,N
20100605,25.8,,1012.9,212443,138.3,3.99,4.76,0.87,7.4,6.3,236,LQ,0,38,Yes,N
20100606,25.8,,1007.5,132870,138.3,3.89,5,0.92,10.8,8.9,229,LQ,0,58,Yes,N
20100607,25.8,,1012.4,15323,138.3,4.59,7.14,1.03,4.8,3.9,38,LQ,69,30,No,N
20100608,25.8,,1019.3,219252,138.3,5.48,7.14,0.62,2.6,2,137,LQ,86,22,No,N
20100609,25.8,,1020.5,166782,138.3,4.1,7.14,0.68,7.7,6.5,201,NM,0,48,No,N
20100610,25.8,,1014.2,178926,138.3,5,6.67,2.02,10.3,8.7,249,NM,3,51,No,N
20100611,25.8,,1019,163969,138.3,3.95,5.56,0.66,9,7.8,42,NM,0,26,Yes,N
20100612,25.8,,1021.9,162345,138.3,4.53,6.67,0.62,3,2.6,83,NM,0,30,Yes,N
20100613,25.8,,1014.4,125955,138.3,3.9,10,1.02,9.8,8.4,236,NM,0,47,Yes,N
20100614,25.8,,1012.5,11351,138.3,4.61,8.33,0.81,2.1,1.8,268,NM,0,28,No,N
20100615,25.8,,1016.1,194899,138.3,5.1,5.88,0.54,3.1,2.6,30,LQ,0,30,No,N
20100616,25.8,,1018.6,156029,138.3,4.49,8.33,0.5,6.2,5.5,194,LQ,3,28,No,N
20100617,25.8,,1014.2,174610,138.3,3.8,5.56,0.6,6.2,5.5,267,LQ,10,32,No,N
20100618,25.8,,1018.7,159726,138.3,3.97,4,0.67,8.2,7.1,49,LQ,0,35,Yes,N
20100619,25.8,,1019.3,177145,138.3,4.28,6.67,0.64,4.3,3.5,191,FQ,0,28,Yes,N
20100620,25.8,,1015.7,128568,138.3,3.72,4.17,0.92,7.4,6.2,235,FQ,3,35,Yes,N
20100621,25.8,,1018.1,18528,138.3,4.29,10,0.64,4.8,4.1,237,FQ,0,29,No,N
20100622,25.8,,1020.8,218014,138.3,4.41,8.33,0.89,6.5,5.6,234,FM,0,37,No,N
20100623,25.8,,1018.4,167251,138.3,4.36,5.26,1.34,9,7.7,246,FM,0,41,No,N
20100624,25.8,,1015.3,187494,138.3,4.56,5.26,1.05,8.5,7.1,234,NM,0,49,No,N
20100625,25.8,,1016.7,151497,138.3,4.08,5.88,1.12,7.7,6.3,252,FM,0,38,Yes,N
20100626,25.8,,1015.1,162514,138.3,4.64,5.88,1.16,2.6,1.3,202,FM,3,31,Yes,N
20100627,25.8,,1012.3,132670,138.3,4.27,6.25,1.28,9.2,7.8,235,FM,0,43,Yes,N
20100628,25.8,,1010.5,39815,138.3,4.15,5.26,1.36,12.5,10.7,231,FM,10,53,No,N
20100629,25.8,,1014.3,100118,138.3,4.04,5.56,1.17,10.7,8.8,228,FM,3,39,No,N
20100630,25.8,,1018,128945,138.3,4.38,5.56,0.97,3.7,3.2,254,FM,381,22,No,N
20100701,27.8,35.6,1020.1,116740,169.1,4.44,5,1.08,8,6.6,29,FQ,94,32,No,N
20100702,27,35.5,1022.5,106559,169.1,4.77,6.67,1.1,9.9,7.9,15,FQ,0,38,Yes,N
20100703,26.9,35.7,1022.2,100518,169.1,4.88,7.69,0.98,8.5,7.1,14,FQ,0,26,Yes,N
20100704,26.7,35.4,1020.7,134133,169.1,6.59,7.69,0.78,2.2,1.2,39,FQ,0,21,Yes,N
20100705,27,35.5,1019.7,24328,169.1,4.62,9.09,0.6,3.8,3.1,258,LQ,0,28,No,N
20100706,27.3,35.7,1019,178429,169.1,4.99,8.33,0.66,4.4,3.7,256,LQ,0,33,No,N
20100707,27.3,35.6,1015.7,126047,169.1,5.74,12.12,0.65,1.6,1.1,286,LQ,0,17,No,N
20100708,27.5,35.6,1013.4,133957,169.1,3.91,4.35,1,10,8.3,22,NM,0,33,No,N
20100709,27.8,35.4,1011.8,145747,169.1,4.39,9.09,1.01,7.6,6.6,249,NM,300,29,Yes,N
20100710,27.9,35.5,1012.2,151761,169.1,5.19,7.69,1.35,4.7,4.1,244,NM,69,36,Yes,N
20100711,27.9,35.5,1013.7,96472,169.1,4.73,7.69,1.02,3.3,2.3,314,NM,0,25,Yes,N
20100712,28.4,35.6,1014.4,11560,169.1,4.87,6.67,0.74,5.9,5,154,NM,119,26,No,N
20100713,28,35.7,1015.3,166396,169.1,4.5,5.56,1.26,7.9,6.8,212,NM,371,59,No,N
20100714,27.1,35.5,1017.8,130320,169.1,4.74,6.25,1.92,9.3,8,251,NM,257,55,No,N
20100715,29,36.2,1017.8,156131,169.1,5.07,8.33,1.17,11.4,9.9,198,LQ,0,34,No,N
20100716,28.9,36.2,1018.8,134468,169.1,4.6,5.88,1.56,12,9.8,223,LQ,0,59,Yes,N
20100717,28.5,36.2,1018.3,177675,169.1,4.18,5.88,1.57,13.3,10.8,237,LQ,254,68,Yes,N
20100718,28.1,36,1017.8,114853,169.1,4.38,4.76,1.56,11.9,10.3,245,FQ,0,62,Yes,N
20100719,27.9,36,1018.1,5861,169.1,4.88,6.67,1.91,12.4,10.5,234,FQ,0,72,No,N
20100720,27.7,36,1019.3,212697,169.1,4.95,6.67,1.99,10.2,8.4,244,FQ,71,66,No,N
20100721,28,36,1018.8,172110,169.1,4.63,5.56,1.74,12.6,10.6,239,FM,0,68,No,N
20100722,27.8,36,1018.3,179500,169.1,4.69,5.26,1.27,5.9,5.1,263,FM,8,31,No,N
20100723,28.1,36.1,1019.5,148229,169.1,5.48,9.09,0.93,5.7,5.1,233,NM,0,43,Yes,N
20100724,27.8,36.1,1018.1,184845,169.1,4.22,4.55,1.43,13.5,10.8,240,FM,8,68,Yes,N
20100725,27.7,36.1,1015.2,100604,169.1,4.18,5,1.65,13.3,10.8,240,FM,0,72,Yes,N
20100726,27.4,36.1,1017,9443,169.1,4.32,6.67,0.9,7.9,6.8,34,FM,0,34,No,N
20100727,26.6,36,1019.7,224449,169.1,4.97,5.88,0.83,3,2.1,108,FM,0,26,No,N
20100728,27.1,36,1020,140681,169.1,4.79,7.69,0.6,5.6,4.7,138,FM,0,33,No,N
20100729,27.4,36.1,1015,180908,169.1,3.84,6.67,0.43,4.7,4,207,FM,0,37,No,N
20100730,26.8,36.1,1010.7,117428,169.1,3.69,3.57,0.53,7.9,6.4,7,FQ,43,41,Yes,N
20100731,28.4,36.1,1013.2,202852,169.1,4.81,6.25,1.06,9.4,8.3,15,FQ,3,26,Yes,N
20100801,28,36.1,1013.5,108738,133.9,5.82,9.09,1.72,9.9,8.1,115,FQ,61,33,Yes,N
20100802,28.1,36.1,1017.5,6748,133.9,6.1,8.33,1.87,9.1,7.5,75,FQ,0,35,No,N
20100803,28.2,36.1,1019.7,241244,133.9,5.36,8.33,1.07,6.5,5.2,90,LQ,0,32,No,N
20100804,28.7,36.1,1016.4,158164,133.9,6.35,8.33,0.72,2.5,1.8,247,LQ,0,31,No,N
20100805,28.1,36.1,1013.2,173417,133.9,4.05,5.26,1.26,9.1,7.8,251,LQ,300,56,No,N
20100806,27.8,36.1,1011.1,153873,133.9,3.99,5.88,1.27,9.8,8.7,252,LQ,5,42,Yes,N
20100807,27.8,36.1,1012.7,207661,133.9,5.6,11.43,0.96,4.7,4,16,NM,0,26,Yes,N
20100808,28.3,36.1,1015.7,63665,133.9,6.84,10,1.32,3.9,3.2,157,NM,0,29,Yes,N
20100809,28.4,35.9,1017.5,10006,133.9,6.17,9.09,0.94,6.1,4.9,11,NM,10,28,No,N
20100810,28.8,35.9,1016.5,247941,133.9,4.83,8.33,0.8,5.3,4,263,NM,0,38,No,N
20100811,28.6,36.1,1012.7,166396,133.9,4.41,5.88,1.51,9.5,8.1,247,NM,201,49,No,N
20100812,27.5,,1009.7,195971,133.9,5.02,6.67,1.73,8.2,6.8,233,NM,262,30,No,N
20100813,27.5,,1011.3,192402,133.9,4.89,6.67,1.15,6.5,5.6,80,LQ,0,35,Yes,N
20100814,27.5,,1017.4,231879,133.9,5.33,8.33,1.39,5.9,4.8,58,LQ,0,32,Yes,N
20100815,27.5,,1017.3,93370,133.9,7.78,10,1.81,4.4,3,128,LQ,0,22,Yes,N
20100816,27.5,,1017.3,7797,133.9,7.49,11.43,1.21,2.9,1.8,141,FQ,0,18,No,N
20100817,28.5,36,1018.7,285084,133.9,6.77,10,0.91,2.8,2,244,FQ,0,27,No,N
20100818,28.7,36.1,1017,166056,133.9,6.09,10,0.86,4.8,3.8,267,FQ,36,30,No,N
20100819,28.8,36.2,1014.6,259683,133.9,5.08,5.56,1,3.4,2.6,291,FQ,142,30,No,N
20100820,28.3,36,1013.9,166202,133.9,3.92,4.17,0.86,8.2,7,45,FM,18,30,Yes,N
20100821,28.4,36.2,1016,193960,133.9,4.24,6.67,0.82,7.1,5.9,105,FM,0,36,Yes,N
20100822,28.8,36.2,1012.9,65354,133.9,4.23,6.25,0.78,6.9,6,231,NM,46,40,Yes,N
20100823,28.4,36.1,1011.2,15759,133.9,4.42,12.12,0.74,8.6,6.7,286,FM,36,23,No,N
20100824,28.2,35.8,1010.5,259168,133.9,4.65,6.67,1.21,4.8,3.5,40,FM,1339,34,No,N
20100825,28.1,36.2,1013.9,159379,133.9,5.57,9.09,1.16,5.4,4.2,17,FM,0,23,No,N
20100826,28.5,36.1,1017.6,239634,133.9,6.45,10,1,2.1,1.5,327,FM,0,16,No,N
20100827,28.2,36.1,1019.4,109914,133.9,5.54,10,0.95,5.7,4.6,54,FM,0,22,Yes,N
20100828,27.5,,1022.6,17281,133.9,8.12,13.79,1.75,8.3,6.6,42,FM,0,30,Yes,N
20100829,27.8,36.2,1024.5,185023,133.9,7.21,12.9,2.06,9,7.4,30,FQ,0,23,Yes,N
20100830,27.7,36.2,1024.5,42863,133.9,7.35,10.81,1.32,3.8,3,349,FQ,0,13,No,N
20100831,28.3,36.1,1021.4,154622,133.9,8.72,13.79,0.97,4.7,3.6,16,FQ,0,18,No,N
20100901,27.1,,1019.6,170927,96,8.35,13.79,1.38,4.6,3.2,86,FQ,0,24,No,N
20100902,27.1,,1012.2,193840,96,8.34,16,4.27,13.8,11.4,73,LQ,551,54,No,N
20100903,27.2,36.2,1005.5,195098,96,6.2,7.69,3.53,15.6,12.7,273,LQ,597,88,Yes,N
20100904,27.3,36.2,1010.7,214472,96,5.86,7.69,1.79,3.4,2.8,336,LQ,0,30,Yes,N
20100905,27.4,36.3,1016.8,155293,96,6.6,10,1,4.5,3.7,29,NM,0,17,Yes,N
20100906,27.3,36.3,1021.9,10849,96,4.44,6.25,0.87,7.6,6.4,67,NM,0,33,No,N
20100907,27.5,36.3,1024,228033,96,4.43,9.09,0.5,5.8,5.1,38,NM,0,26,No,N
20100908,27.1,,1016.4,199514,96,3.5,4.17,0.68,7.5,6.6,249,NM,0,49,No,N
20100909,27.1,,1013,222215,96,4.27,4.35,0.84,6.1,4.8,40,NM,0,31,No,N
20100910,27.1,,1013.1,175642,96,4.67,4.55,0.94,9,7.5,22,NM,0,30,Yes,N
