DATE,MLLW,OceanTemp,Salinity,SeaPressure,BlueCrabCatch,WaveDirection,AverageWavePeriod,DominantWavePeriod,WaveHeight,Gust,WindSpeed,WindDirection,Illum,PRCP,AvgDailyWind,Weekend,Attack
20100503,0.098,22.5,35.516,1017,64238,113,4.62,6.25,1.35,7.8,7.1,218,FQ,0,68,No,N
20100504,0.171,22.5,35.516,1013.4,166762,113,4.74,5.88,1.33,5.6,4.9,226,FQ,71,38,No,N
20100505,0.2,22.5,35.516,1016.5,162557,113,4.66,6.67,0.99,3.9,3.1,182,FQ,0,24,No,N
20100506,0.125,22.5,35.516,1013.7,137817,113,4.68,5.88,0.79,2.7,2.3,226,LQ,0,36,No,N
20100507,-0.125,22.5,35.516,1016.3,142788,113,4.2,3.85,0.77,8,7.1,23,LQ,0,41,Yes,N
20100508,0.066,22.5,35.516,1008.3,178191,113,4.44,5.26,1.66,12.8,10.9,220,LQ,0,65,Yes,N
20100509,0.226,22.5,35.516,1020,132671,113,4.75,7.14,0.97,5.3,4,14,LQ,0,30,Yes,N
20100510,0.003,22.5,35.516,1027.3,28525,113,4.41,5.26,1.25,8.2,6.7,9,NM,0,36,No,N
20100511,-0.279,22.5,35.516,1029.8,185102,113,4.07,6.25,0.75,5.5,4.5,93,NM,0,36,No,N
20100512,0.01,22.5,35.516,1022.7,136718,113,4.41,5.56,1.04,8.6,7.5,237,NM,0,55,No,N
20100513,-0.341,22.5,35.516,1025.5,182286,113,4.73,6.25,0.93,5.1,4.5,46,NM,272,34,No,N
20100514,0.135,22.5,35.516,1025.5,159587,113,5.17,6.67,0.62,6.4,5.6,235,NM,0,38,Yes,N
20100515,0.062,22.5,35.516,1021.4,159243,113,4.34,5,1.08,6.7,6,238,NM,0,43,Yes,N
20100516,0.039,22.5,35.516,1019.4,116586,113,4.78,5.56,1.02,4.3,3.8,260,NM,0,30,Yes,N
20100517,0.125,22.5,35.516,1018,17896,113,4.63,5.26,1,4,3.4,100,LQ,0,34,No,N
20100518,0.318,22.5,35.516,1009.8,164488,113,5.88,7.69,2.94,5.1,4,208,LQ,152,42,No,N
20100519,0.482,22.5,35.516,1012.5,95903,113,5.49,6.67,0.88,9.5,8.2,106,LQ,41,24,No,N
20100520,0.761,22.5,35.516,1017.4,114613,113,4.66,8.33,0.83,6,5.5,25,FQ,0,21,No,N
20100521,0.423,22.5,35.516,1021.3,182049,113,7.41,9.09,0.87,3,2.6,28,FQ,0,27,Yes,N
20100522,0.361,22.5,35.516,1020.4,137437,113,5.56,6.25,0.93,2,1.7,25,FQ,0,26,Yes,N
20100523,0.312,22.5,35.516,1019.2,140534,113,6.07,6.67,1.12,2.5,1.9,19,FQ,0,21,Yes,N
20100524,0.036,22.5,35.516,1019.8,82789,113,7.22,9.09,1.83,5.5,5,49,FM,229,41,No,N
20100525,0.666,22.5,35.516,1017,114389,113,7.66,10.81,3.12,10.2,8.9,16,FM,8,49,No,N
20100526,0.856,22.5,35.516,1011,140613,113,6.48,10,2.47,7.7,6.7,34,NM,15,43,No,N
20100527,0.883,22.5,35.516,1008.1,157793,113,7.4,10,1.42,1.3,0.4,98,FM,0,21,No,N
20100528,0.643,22.5,35.516,1012.4,144009,113,5.39,9.09,1.22,4.9,4.7,46,FM,0,51,Yes,N
20100529,0.597,22.5,35.516,1016.7,144692,113,5.13,9.09,1.29,6.4,5.6,164,FM,0,35,Yes,N
20100530,0.689,22.5,35.516,1017.7,132597,113,5.01,7.69,0.84,5.9,5.3,238,FM,0,45,Yes,N
20100531,0.666,22.5,35.516,1020,38619,113,3.91,9.09,0.56,4,3.3,233,FM,0,38,No,N
20100601,0.381,25.8,35.4472,1017.3,180804,138.3,4.06,4.17,0.94,6.2,5.4,208,FQ,0,30,No,N
20100602,0.512,25.8,35.4472,1013.9,185786,138.3,5.03,5.26,1.35,5.5,4.5,189,FQ,0,32,No,N
20100603,0.328,25.8,35.4472,1011.6,165388,138.3,4.44,5.26,1.19,8.6,7.4,209,FQ,0,41,No,N
20100604,0.463,25.8,35.4472,1013.5,97760,138.3,4.42,5.26,0.95,5.4,4.7,230,FQ,0,36,Yes,N
20100605,0.39,25.8,35.4472,1012.9,212443,138.3,3.99,4.76,0.87,7.4,6.3,236,LQ,0,38,Yes,N
20100606,0.272,25.8,35.4472,1007.5,132870,138.3,3.89,5,0.92,10.8,8.9,229,LQ,0,58,Yes,N
20100607,0.269,25.8,35.4472,1012.4,15323,138.3,4.59,7.14,1.03,4.8,3.9,38,LQ,69,30,No,N
20100608,0.272,25.8,35.4472,1019.3,219252,138.3,5.48,7.14,0.62,2.6,2,137,LQ,86,22,No,N
20100609,0.039,25.8,35.4472,1020.5,166782,138.3,4.1,7.14,0.68,7.7,6.5,201,NM,0,48,No,N
20100610,0.312,25.8,35.4472,1014.2,178926,138.3,5,6.67,2.02,10.3,8.7,249,NM,3,51,No,N
20100611,0.292,25.8,35.4472,1019,163969,138.3,3.95,5.56,0.66,9,7.8,42,NM,0,26,Yes,N
20100612,0.466,25.8,35.4472,1021.9,162345,138.3,4.53,6.67,0.62,3,2.6,83,NM,0,30,Yes,N
20100613,0.433,25.8,35.4472,1014.4,125955,138.3,3.9,10,1.02,9.8,8.4,236,NM,0,47,Yes,N
20100614,0.574,25.8,35.4472,1012.5,11351,138.3,4.61,8.33,0.81,2.1,1.8,268,NM,0,28,No,N
20100615,0.837,25.8,35.4472,1016.1,194899,138.3,5.1,5.88,0.54,3.1,2.6,30,LQ,0,30,No,N
20100616,0.728,25.8,35.4472,1018.6,156029,138.3,4.49,8.33,0.5,6.2,5.5,194,LQ,3,28,No,N
20100617,0.942,25.8,35.4472,1014.2,174610,138.3,3.8,5.56,0.6,6.2,5.5,267,LQ,10,32,No,N
20100618,0.518,25.8,35.4472,1018.7,159726,138.3,3.97,4,0.67,8.2,7.1,49,LQ,0,35,Yes,N
20100619,0.538,25.8,35.4472,1019.3,177145,138.3,4.28,6.67,0.64,4.3,3.5,191,FQ,0,28,Yes,N
20100620,0.338,25.8,35.4472,1015.7,128568,138.3,3.72,4.17,0.92,7.4,6.2,235,FQ,3,35,Yes,N
20100621,0.315,25.8,35.4472,1018.1,18528,138.3,4.29,10,0.64,4.8,4.1,237,FQ,0,29,No,N
20100622,0.295,25.8,35.4472,1020.8,218014,138.3,4.41,8.33,0.89,6.5,5.6,234,FM,0,37,No,N
20100623,0.361,25.8,35.4472,1018.4,167251,138.3,4.36,5.26,1.34,9,7.7,246,FM,0,41,No,N
20100624,0.285,25.8,35.4472,1015.3,187494,138.3,4.56,5.26,1.05,8.5,7.1,234,NM,0,49,No,N
20100625,0.289,25.8,35.4472,1016.7,151497,138.3,4.08,5.88,1.12,7.7,6.3,252,FM,0,38,Yes,N
20100626,0.233,25.8,35.4472,1015.1,162514,138.3,4.64,5.88,1.16,2.6,1.3,202,FM,3,31,Yes,N
20100627,0.262,25.8,35.4472,1012.3,132670,138.3,4.27,6.25,1.28,9.2,7.8,235,FM,0,43,Yes,N
20100628,0.112,25.8,35.4472,1010.5,39815,138.3,4.15,5.26,1.36,12.5,10.7,231,FM,10,53,No,N
20100629,0.144,25.8,35.4472,1014.3,100118,138.3,4.04,5.56,1.17,10.7,8.8,228,FM,3,39,No,N
20100630,0.351,25.8,35.4472,1018,128945,138.3,4.38,5.56,0.97,3.7,3.2,254,FM,381,22,No,N
20100701,0.436,27.8,35.6,1020.1,116740,169.1,4.44,5,1.08,8,6.6,29,FQ,94,32,No,N
20100702,0.669,27,35.5,1022.5,106559,169.1,4.77,6.67,1.1,9.9,7.9,15,FQ,0,38,Yes,N
20100703,0.436,26.9,35.7,1022.2,100518,169.1,4.88,7.69,0.98,8.5,7.1,14,FQ,0,26,Yes,N
20100704,0.335,26.7,35.4,1020.7,134133,169.1,6.59,7.69,0.78,2.2,1.2,39,FQ,0,21,Yes,N
20100705,0.21,27,35.5,1019.7,24328,169.1,4.62,9.09,0.6,3.8,3.1,258,LQ,0,28,No,N
20100706,0.095,27.3,35.7,1019,178429,169.1,4.99,8.33,0.66,4.4,3.7,256,LQ,0,33,No,N
20100707,0.01,27.3,35.6,1015.7,126047,169.1,5.74,12.12,0.65,1.6,1.1,286,LQ,0,17,No,N
20100708,0.033,27.5,35.6,1013.4,133957,169.1,3.91,4.35,1,10,8.3,22,NM,0,33,No,N
20100709,0.443,27.8,35.4,1011.8,145747,169.1,4.39,9.09,1.01,7.6,6.6,249,NM,300,29,Yes,N
20100710,0.341,27.9,35.5,1012.2,151761,169.1,5.19,7.69,1.35,4.7,4.1,244,NM,69,36,Yes,N
20100711,0.528,27.9,35.5,1013.7,96472,169.1,4.73,7.69,1.02,3.3,2.3,314,NM,0,25,Yes,N
20100712,0.322,28.4,35.6,1014.4,11560,169.1,4.87,6.67,0.74,5.9,5,154,NM,119,26,No,N
20100713,0.489,28,35.7,1015.3,166396,169.1,4.5,5.56,1.26,7.9,6.8,212,NM,371,59,No,N
20100714,0.42,27.1,35.5,1017.8,130320,169.1,4.74,6.25,1.92,9.3,8,251,NM,257,55,No,N
20100715,0.705,29,36.2,1017.8,156131,169.1,5.07,8.33,1.17,11.4,9.9,198,LQ,0,34,No,N
20100716,0.673,28.9,36.2,1018.8,134468,169.1,4.6,5.88,1.56,12,9.8,223,LQ,0,59,Yes,N
20100717,0.374,28.5,36.2,1018.3,177675,169.1,4.18,5.88,1.57,13.3,10.8,237,LQ,254,68,Yes,N
20100718,0.725,28.1,36,1017.8,114853,169.1,4.38,4.76,1.56,11.9,10.3,245,FQ,0,62,Yes,N
20100719,0.194,27.9,36,1018.1,5861,169.1,4.88,6.67,1.91,12.4,10.5,234,FQ,0,72,No,N
20100720,-0.02,27.7,36,1019.3,212697,169.1,4.95,6.67,1.99,10.2,8.4,244,FQ,71,66,No,N
20100721,0.161,28,36,1018.8,172110,169.1,4.63,5.56,1.74,12.6,10.6,239,FM,0,68,No,N
20100722,-0.016,27.8,36,1018.3,179500,169.1,4.69,5.26,1.27,5.9,5.1,263,FM,8,31,No,N
20100723,0.154,28.1,36.1,1019.5,148229,169.1,5.48,9.09,0.93,5.7,5.1,233,NM,0,43,Yes,N
20100724,0.056,27.8,36.1,1018.1,184845,169.1,4.22,4.55,1.43,13.5,10.8,240,FM,8,68,Yes,N
20100725,0,27.7,36.1,1015.2,100604,169.1,4.18,5,1.65,13.3,10.8,240,FM,0,72,Yes,N
20100726,-0.105,27.4,36.1,1017,9443,169.1,4.32,6.67,0.9,7.9,6.8,34,FM,0,34,No,N
20100727,0.194,26.6,36,1019.7,224449,169.1,4.97,5.88,0.83,3,2.1,108,FM,0,26,No,N
20100728,0.292,27.1,36,1020,140681,169.1,4.79,7.69,0.6,5.6,4.7,138,FM,0,33,No,N
20100729,0.207,27.4,36.1,1015,180908,169.1,3.84,6.67,0.43,4.7,4,207,FM,0,37,No,N
20100730,0.344,26.8,36.1,1010.7,117428,169.1,3.69,3.57,0.53,7.9,6.4,7,FQ,43,41,Yes,N
20100731,0.489,28.4,36.1,1013.2,202852,169.1,4.81,6.25,1.06,9.4,8.3,15,FQ,3,26,Yes,N
20100801,0.148,28,36.1,1013.5,108738,133.9,5.82,9.09,1.72,9.9,8.1,115,FQ,61,33,Yes,N
20100802,0.377,28.1,36.1,1017.5,6748,133.9,6.1,8.33,1.87,9.1,7.5,75,FQ,0,35,No,N
20100803,0.292,28.2,36.1,1019.7,241244,133.9,5.36,8.33,1.07,6.5,5.2,90,LQ,0,32,No,N
20100804,0.312,28.7,36.1,1016.4,158164,133.9,6.35,8.33,0.72,2.5,1.8,247,LQ,0,31,No,N
20100805,0.128,28.1,36.1,1013.2,173417,133.9,4.05,5.26,1.26,9.1,7.8,251,LQ,300,56,No,N
20100806,0.2,27.8,36.1,1011.1,153873,133.9,3.99,5.88,1.27,9.8,8.7,252,LQ,5,42,Yes,N
20100807,0.105,27.8,36.1,1012.7,207661,133.9,5.6,11.43,0.96,4.7,4,16,NM,0,26,Yes,N
20100808,0.361,28.3,36.1,1015.7,63665,133.9,6.84,10,1.32,3.9,3.2,157,NM,0,29,Yes,N
20100809,0.482,28.4,35.9,1017.5,10006,133.9,6.17,9.09,0.94,6.1,4.9,11,NM,10,28,No,N
20100810,0.732,28.8,35.9,1016.5,247941,133.9,4.83,8.33,0.8,5.3,4,263,NM,0,38,No,N
20100811,0.892,28.6,36.1,1012.7,166396,133.9,4.41,5.88,1.51,9.5,8.1,247,NM,201,49,No,N
20100812,1.234,27.5,35.576,1009.7,195971,133.9,5.02,6.67,1.73,8.2,6.8,233,NM,262,30,No,N
